g_id,group,softwares
G0001,Axiom,"S0021,S0009,S0203,S0412"
G0070,Dark Caracal,"S0234,S0235,S0182,S0399"
G0062,TA459,"S0032,S0033,S0013,S0230"
G0063,BlackOasis,
G0065,Leviathan,"S0110,S0190,S0069,S0020,S0154,S0021,S0232,S0233,S0228,S0039,S0229,S0005"
G0069,MuddyWater,"S0488,S0363,S0250,S0349,S0002,S0194,S0223,S0450"
G0066,Elderwood,"S0204,S0203,S0211,S0205,S0210,S0208,S0012,S0207,S0206"
G0068,PLATINUM,"S0202,S0200,S0201"
G0064,APT33,"S0129,S0363,S0095,S0349,S0002,S0336,S0039,S0198,S0378,S0194,S0371,S0192,S0358,S0380,S0199"
G0061,FIN8,"S0105,S0039,S0196,S0197"
G0067,APT37,"S0212,S0213,S0355,S0214,S0215,S0247,S0216,S0240,S0217,S0218,S0219"
G0060,BRONZE BUTLER,"S0469,S0110,S0473,S0470,S0471,S0106,S0187,S0472,S0008,S0002,S0039,S0111,S0005"
G0055,NEODYMIUM,S0176
G0058,Charming Kitten,S0186
G0059,Magic Hound,"S0186,S0224,S0002,S0029,S0192,S0225"
G0108,Blue Mockingbird,S0002
G0056,PROMETHIUM,"S0491,S0178"
G0107,Whitefly,S0002
G0105,DarkVishnya,"S0029,S0191"
G0104,Sharpshooter,S0448
G0103,Mofang,"S0444,S0445"
G0106,Rocke,
G0102,Wizard Spider,"S0024,S0367,S0363,S0039,S0029,S0446,S0266"
G0101,Frankenstein,S0363
G0100,Inception,"S0349,S0441,S0442"
G0098,BlackTech,"S0437,S0435,S0436"
G0097,Bouncing Golf,S0421
G0099,APT-C-36,S0434
G0096,APT41,"S0073,S0190,S0069,S0160,S0020,S0154,S0021,S0095,S0032,S0443,S0002,S0039,S0104,S0385,S0097,S0013,S0194,S0006,S0112,S0412"
G0095,Machete,S0409
G0094,Kimsuky,
G0092,TA505,"S0384,S0381,S0383,S0460,S0039,S0461,S0382,S0266"
G0091,Silence,"S0363,S0195,S0191"
G0090,WIRTE,S0363
G0089,The White Company,"S0198,S0379"
G0093,Soft Cell,"S0110,S0020,S0106,S0040,S0100,S0002,S0039,S0097,S0013,S0012,S0029,S0075"
G0084,Gallmaker,
G0087,APT39,"S0073,S0454,S0488,S0459,S0002,S0029,S0006,S0375,S0005"
G0085,FIN4,
G0086,Stolen Pencil,"S0002,S0029"
G0081,Tropic Trooper,"S0190,S0387,S0012,S0452,S0388"
G0083,SilverTerrier,"S0331,S0334,S0447,S0336,S0198"
G0082,APT38,"S0334,S0002,S0039"
G0077,Leafminer,"S0349,S0413,S0002,S0029"
G0080,Cobalt Group,"S0154,S0002,S0284,S0029,S0195"
G0079,DarkHydrus,"S0154,S0002,S0270"
G0078,Gorgon Group,"S0336,S0385,S0262,S0332"
G0076,Thrip,"S0261,S0002,S0029"
G0075,Rancor,"S0160,S0255,S0254,S0075"
G0088,TEMP.Veles,"S0002,S0029"
G0074,Dragonfly 2.0,"S0488,S0357,S0500,S0039,S0108,S0029,S0075,S0094"
G0071,Orangeworm,"S0099,S0106,S0100,S0236,S0039,S0104,S0103,S0096"
G0073,APT19,"S0154,S0363"
G0072,Honeybee,"S0106,S0075,S0096,S0057"
G0054,Sowbug,"S0171,S0188"
G0051,FIN10,S0363
G0053,FIN5,"S0173,S0029,S0006,S0169,S0195,S0005"
G0052,CopyKittens,"S0154,S0363,S0164"
G0050,APT32,"S0099,S0154,S0354,S0477,S0100,S0156,S0002,S0039,S0108,S0352,S0158,S0157,S0155"
G0049,OilRig,"S0360,S0160,S0095,S0170,S0100,S0189,S0349,S0002,S0039,S0104,S0264,S0184,S0029,S0269,S0495,S0075,S0258,S0185,S0096,S0057"
G0046,FIN7,"S0415,S0030,S0417,S0151,S0517,S0145,S0416,S0390,S0146"
G0045,menuPass,"S0160,S0144,S0106,S0404,S0152,S0357,S0002,S0039,S0097,S0013,S0012,S0194,S0029,S0006,S0262,S0153,S0159,S0275"
G0043,Group5,"S0336,S0385"
G0044,Winnti Group,"S0501,S0141"
G0048,RTM,S0148
G0041,Strider,S0125
G0047,Gamaredon Group,S0147
G0038,Stealth Falcon,
G0040,Patchwork,"S0129,S0475,S0128,S0272,S0194,S0262,S0131,S0130"
G0039,Suckfly,S0118
G0036,GCMAN,
G0035,Dragonfly,"S0093,S0002,S0029,S0094"
G0037,FIN6,"S0154,S0381,S0503,S0372,S0449,S0002,S0284,S0029,S0446,S0005"
G0030,Lotus Blossom,"S0081,S0082"
G0031,Dust Storm,"S0084,S0083,S0085,S0086"
G0033,Poseidon Group,
G0032,Lazarus Group,"S0347,S0245,S0239,S0498,S0497,S0181,S0246,S0376,S0431,S0271,S0002,S0108,S0238,S0241,S0364,S0263,S0180,S0366"
G0034,Sandworm Team,"S0089,S0401,S0343,S0368,S0365"
G0028,Threat Group-1314,"S0039,S0029"
G0029,Scarlet Mimic,"S0077,S0076,S0079,S0078"
G0024,Putter Panda,"S0066,S0065,S0068,S0067"
G0023,APT16,S0064
G0026,APT18,"S0106,S0032,S0071,S0070,S0124"
G0022,APT3,"S0349,S0165,S0013,S0166,S0111,S0063"
G0021,Molerats,"S0062,S0012"
G0027,Threat Group-3390,"S0073,S0020,S0032,S0008,S0070,S0398,S0357,S0100,S0002,S0039,S0072,S0013,S0006,S0005,S0412"
G0020,Equation,
G0025,APT17,S0069
G0019,Naikon,"S0456,S0095,S0061,S0039,S0108,S0097,S0029,S0055,S0058,S0060,S0096,S0057,S0059"
G0018,admin@338,"S0043,S0100,S0042,S0039,S0104,S0012,S0096"
G0015,Taidoor,
G0013,APT30,"S0031,S0036,S0034,S0028,S0035"
G0014,Night Dragon,"S0073,S0110,S0008,S0029,S0350"
G0012,Darkhotel,
G0016,APT29,"S0054,S0154,S0050,S0046,S0049,S0037,S0100,S0175,S0002,S0051,S0039,S0052,S0048,S0518,S0150,S0139,S0029,S0511,S0195,S0053,S0516,S0096,S0057,S0183,S0515,S0514"
G0017,DragonOK,"S0013,S0012"
G0011,PittyTiger,"S0032,S0008,S0010,S0002,S0012"
G0010,Turla,"S0099,S0335,S0160,S0126,S0363,S0091,S0168,S0265,S0395,S0002,S0256,S0102,S0039,S0104,S0393,S0029,S0075,S0096,S0057,S0022"
G0009,Deep Panda,"S0021,S0080,S0039,S0097,S0074,S0142,S0057"
G0008,Carbanak,"S0030,S0002,S0108,S0029"
