s_id,software,groups
S0001,Trojan.Mebromi,
S0070,HTTPBrowser,"G0026,G0027"
S0062,DustySky,G0021
S0066,3PARA RAT,G0024
S0061,HDoor,G0019
S0067,pngdowner,G0024
S0065,4H RAT,G0024
S0063,SHOTPUT,G0022
S0069,BLACKCOFFEE,"G0025,G0065,G0096"
S0068,httpclient,G0024
S0064,ELMER,G0023
S0057,Tasklist,"G0049,G0004,G0009,G0006,G0010,G0072,G0019,G0016"
S0058,SslMM,G0019
S0059,WinMM,G0019
S0060,Sys10,G0019
S0056,Net Crawler,G0003
S0055,RARSTONE,G0019
S0512,FatDuke,
S0511,RegDuke,G0016
S0504,Anchor,
S0507,eSurv,
S0508,Ngrok,
S0509,FakeSpy,
S0506,ViperRAT,
S0502,Drovorub,G0007
S0503,FrameworkPOS,G0037
S0505,Desert Scorpion,
S0499,Hancitor,
S0501,PipeMon,G0044
S0500,MCMD,G0074
S0495,RDAT,G0049
S0497,Dacls,G0032
S0498,Cryptoistic,G0032
S0496,REvil,G0115
S0494,Zen,
S0493,GoldenSpy,
S0492,CookieMiner,
S0489,WolfRAT,
S0490,XLoader for iOS,
S0487,Kessel,
S0491,StrongPity,G0056
S0488,CrackMapExec,"G0087,G0069,G0074"
S0485,Mandrake,
S0484,Carberp,
S0486,Bonadan,
S0483,IcedID,
S0482,Bundlore,
S0481,Ragnar Locker,
S0480,Cerberus,
S0479,DEFENSOR ID,
S0478,EventBot,
S0477,Goopy,G0050
S0471,build_downer,G0060
S0475,BackConfig,G0040
S0476,Valak,
S0472,down_new,G0060
S0473,Avenger,G0060
S0469,ABK,G0060
S0470,BBK,G0060
S0468,Skidmap,
S0467,TajMahal,
S0463,INSOMNIA,
S0466,WindTail,G0112
S0461,SDBot,G0092
S0462,CARROTBAT,
S0464,SYSCON,
S0460,Get2,G0092
S0465,CARROTBALL,
S0458,Ramsay,
S0459,MechaFlounder,G0087
S0456,Aria-body,G0019
S0455,Metamorfo,
S0457,Netwalker,
S0454,Cadelspy,G0087
S0453,Pony,
S0449,Maze,G0037
S0451,LoudMiner,
S0450,SHARPSTATS,G0069
S0452,USBferry,G0081
S0448,Rising Sun,G0104
S0447,Lokibot,G0083
S0446,Ryuk,"G0102,G0037"
S0444,ShimRat,G0103
S0443,MESSAGETAP,G0096
S0445,ShimRatReporter,G0103
S0442,VBShower,G0100
S0440,Agent Smith,
S0438,Attor,
S0441,PowerShower,G0100
S0437,Kivars,G0098
S0439,Okrum,G0004
S0436,TSCookie,G0098
S0433,Rifdoor,
S0435,PLEAD,G0098
S0430,Winnti for Linux,
S0434,Imminent Monitor,G0099
S0432,Bread,
S0431,HotCroissant,G0032
S0427,TrickMo,
S0428,PoetRAT,
S0426,Concipit1248,
S0424,Triada,
S0425,Corona Updates,
S0423,Ginp,
S0422,Anubis,
S0421,GolfSpy,G0097
S0419,SimBad,
S0420,Dvmap,
S0416,RDFSNIFFER,G0046
S0418,ViceLeaker,
S0417,GRIFFON,G0046
S0414,BabyShark,
S0415,BOOSTWRITE,G0046
S0412,ZxShell,"G0096,G0001,G0027"
S0411,Rotexy,
S0413,MailSniper,G0077
S0410,Fysbis,G0007
S0407,Monokle,
S0408,FlexiSpy,
S0409,Machete,G0095
S0404,esentutl,G0045
S0406,Gustuff,
S0405,Exodus,
S0402,OSX/Shlayer,
S0403,Riltok,
S0401,Exaramel for Linux,G0034
S0399,Pallas,G0070
S0396,EvilBunny,
S0400,RobbinHood,
S0397,LoJax,G0007
S0398,HyperBro,G0027
S0395,LightNeuron,G0010
S0393,PowerStallion,G0010
S0390,SQLRat,G0046
S0391,HAWKBALL,
S0394,HiddenWasp,
S0387,KeyBoy,G0081
S0388,YAHOYAH,G0081
S0389,JCry,
S0386,Ursnif,
S0384,Dridex,G0092
S0383,FlawedGrace,G0092
